observations,centile,subject_ids,CortexVol,Right-Amygdala,Right-Lateral-Ventricle,WM-hypointensities
14,0.75,14,528203.9294258689,1889.4299772372851,8345.534944772866,1464.8732775741016
14,0.95,14,574719.0600430948,2116.2207945513096,11195.307123453276,1889.3497751075283
15,0.05,15,418487.96846645797,1353.5149179582743,1533.4237542566407,470.7424343953063
15,0.25,15,464742.8316266367,1577.2834422403603,4297.545042952621,898.7297984963437
15,0.5,15,496894.10172809707,1732.822595809673,6218.856751049299,1196.2193250694324
15,0.75,15,529045.3718295575,1888.3617493789857,8140.168459145987,1493.708851642521
15,0.95,15,575300.2349897362,2112.130273661071,10904.289747841967,1921.6962157435582
16,0.05,16,483093.3586375684,949.6484821975109,-37.960334010753286,-573.9225265641123
16,0.25,16,566283.3654415314,1285.906949824095,2665.51603485123,470.2768122259748
16,0.5,16,624107.866386098,1519.6366828281016,4544.674095425231,1196.0888174403647
16,0.75,16,681932.3673306647,1753.3664158321092,6423.832155999236,1921.9008226547548
16,0.95,16,765122.3741346279,2089.624883458692,9127.308524861217,2966.1001614448396
17,0.05,17,385866.87574358925,1377.7099053942384,875.036928255432,-227.08281378168272
17,0.25,17,434634.5183822789,1604.9198555892126,5511.801040841844,731.9838759755337
17,0.5,17,468532.3951365196,1762.851108204981,8734.7671290621,1398.6210700132
17,0.75,17,502430.27189076034,1920.7823608207495,11957.733217282344,2065.2582640508676
17,0.95,17,551197.9145294499,2147.992311015724,16594.497329868762,3024.3249538080786
18,0.05,18,413478.02858190535,1324.7041452611556,1447.7416153957593,381.561137194995
18,0.25,18,461374.94359134434,1563.2508425009723,4569.796473453767,808.4664445162964
18,0.5,18,494667.5867056997,1729.0621490485503,6739.904050367259,1105.2038447741497
18,0.75,18,527960.2298200551,1894.8734555961285,8910.01162728074,1401.9412450320021
18,0.95,18,575857.144829494,2133.420152835946,12032.066485338748,1828.8465523533027
19,0.05,19,392781.49116997316,1322.9101570564503,343.2025463367463,180.86217877112495
19,0.25,19,445670.6203672208,1601.5342911765647,4479.32810744606,811.615668251879
19,0.5,19,482433.299187892,1795.203003628697,7354.30559096536,1250.0458012631325
19,0.75,19,519195.9780085632,1988.8717160808283,10229.283074484669,1688.4759342743855
19,0.95,19,572085.1072058107,2267.4958502009413,14365.40863559398,2319.2294237551405
20,0.05,20,409700.4902299803,1308.5527697203443,1257.990716287154,327.65004151275957
20,0.25,20,459118.277506527,1559.6105060167426,4638.178575866248,771.4712233563441
20,0.5,20,493468.0629775739,1734.11810455345,6987.711693944225,1079.9666705223651
20,0.75,20,527817.8484486209,1908.625703090157,9337.244812022202,1388.462117688387
20,0.95,20,577235.6357251673,2159.6834393865565,12717.432671601284,1832.2832995319711
21,0.05,21,375923.85886002576,1265.0242311936986,2859.2133096286598,-612.5894355274045
21,0.25,21,418963.12627529725,1438.1013946433732,8783.21166772367,1088.5682355281492
21,0.5,21,448879.2695107763,1558.4055151246075,12900.920775026645,2271.0250850463117
21,0.75,21,478795.41274625534,1678.709635605841,17018.629882329646,3453.4819345644783
21,0.95,21,521834.680161527,1851.7867990555153,22942.62824042463,5154.6396056200265
22,0.05,22,418487.96846645797,1353.5149179582743,1533.4237542566407,470.7424343953063
22,0.25,22,464742.8316266367,1577.2834422403603,4297.545042952621,898.7297984963437
22,0.5,22,496894.10172809707,1732.822595809673,6218.856751049299,1196.2193250694324
22,0.75,22,529045.3718295575,1888.3617493789857,8140.168459145987,1493.708851642521
22,0.95,22,575300.2349897362,2112.130273661071,10904.289747841967,1921.6962157435582
23,0.05,23,417024.44024810777,1347.359324428186,1534.0692798490127,450.298459928537
23,0.25,23,463539.57086533355,1574.1501417422105,4383.841458529416,874.7749574619636
